Finance, Risque, Connaissance: les challenges du futur	2A	IMI	semaine d'ouverture	semaine d'ouverture IMI	O2	finances quantitatives	analyse numérique	vision d'apprentissage	optimisation	Ponts ParisTech							
Modéliser, Programmer, Simuler	2A	IMI	Obligatoire IMI	S3	finances quantitatives	obligatoire finances 	analyse numérique	obligatoire analyse	vision d'apprentissage	obligatoire vision	optimisation	obligatoire optimisation	Ponts ParisTech				
Projet IMI	2A	IMI	Obligatoire IMI	S4	finances quantitatives	obligatoire finances 	analyse numérique	obligatoire analyse	projet	vision d'apprentissage	obligatoire vision	optimisation	obligatoire optimisation	Ponts ParisTech			
Mathématiques pour l'image	2A	IMI	choix IMI	S3	finances quantitatives	choix finances	analyse numérique	choix analyse	vision d'apprentissage	obligatoire	optimisation	Ponts ParisTech					
Techniques de développement logiciel	2A	IMI	choix IMI	S3	finances quantitatives	choix finances	analyse numérique	choix analyse	vision d'apprentissage	optimisation 	choix	Ponts ParisTech					
Analyse spectrale	2A	IMI	choix IMI	S3	finances quantitatives	obligatoire finances	analyse numérique	obligatoire analyse	optimisation	obligatoire	choix	Ponts ParisTech					
Théorie des jeux	2A	IMI	choix IMI	S3	optimisation	obligatoire finances	Ponts ParisTech										
Modéliser l'aléa	2A	IMI	choix IMI	S4	finances quantitatives	obligatoire finances	analyse numérique	choix analyse	vision d'apprentissage	choix	optimisation	obligatoire	Ponts ParisTech				
Maillages et applications	2A	IMI	choix IMI	S4	finances quantitatives	choix finances	analyse numérique	obligatoire analyse	vision d'apprentissage	obligatoire	optimisation	choix	Ponts ParisTech				
Mathématiques des modèles multi-échelles	2A	IMI	choix IMI	S4	finances quantitatives		analyse numérique	obligatoire analyse	vision d'apprentissage	choix	optimisation	obligatoire	Ponts ParisTech				
Finance: Aspects Mathématiques et Numériques	2A	IMI	choix IMI	S4	finances quantitatives	obligatoire finances	analyse numérique	choix analyse	vision d'apprentissage	choix	optimisation	obligatoire	Ponts ParisTech				
Machine learning et applications	2A	IMI	choix IMI	S4	finances quantitatives	choix finances	analyse numérique	obligatoire analyse	vision d'apprentissage	obligatoire	optimisation	choix	Ponts ParisTech				
Optimisation et contrôle	2A	IMI	choix IMI	S4	finances quantitatives	obligatoire finances	analyse numérique	obligatoire analyse	vision d'apprentissage	choix	optimisation	obligatoire	Ponts ParisTech				
Finances quantitatives	3A	IMI	semaine d'ouverture	semaine d'ouverture IMI	O3	Ponts ParisTech											
Méthodes déterministes en Finances	3A	IMI	électifs	électifs IMI	S5	Ponts ParisTech											
Méthodes de Monte Carlo en Finance	3A	IMI	électifs	électifs IMI	S5	Ponts ParisTech											
Modèles de taux d'intérêt	3A	IMI	électifs	électifs IMI	S5	Ponts ParisTech											
Risque de défaut risque de crédit	3A	IMI	électifs	électifs IMI	S5	Ponts ParisTech											
Mesure de risques en Finances	3A	IMI	électifs	électifs IMI	S5	Ponts ParisTech											
Processus aléatoires avec sauts et applications en Finance	3A	IMI	électifs	électifs IMI	S5	Ponts ParisTech											
IPPEX - immersion professionnelle en poste d'exécutant	1A	SHS	Ponts ParisTech														
Communicatio: séminaire d'initiation	1A	SHS	Ponts ParisTech														
Sciences, techniques, controverses	1A	SHS	Ponts ParisTech														
Rapport d'expérience humaine	1A	SHS	Ponts ParisTech														
droit: initiation	2A	SHS	S3	Ponts ParisTech													
le pouvoir des chiffres	2A	SHS	S3	Ponts ParisTech													
enjeux et méthodes de l'interculturel	2A	SHS	S3	Ponts ParisTech													
histoire, sciences et sociétés	2A	SHS	S3	Ponts ParisTech													
villes, territoires et technologies XIX-Xxe siècle	2A	SHS	S3	Ponts ParisTech													
atelier entrepreneuriat	2A	SHS	S4	Ponts ParisTech													
littérature, discrous et sociétés	2A	SHS	S4	Ponts ParisTech													
initiation à la socio-anthropologie	2A	SHS	S4	Ponts ParisTech													
philosophie politique	2A	SHS	S4	Ponts ParisTech													
sciences et techniques: approches esthétiques	2A	SHS	S4	Ponts ParisTech													
techniques et démocratie	2A	SHS	S4	Ponts ParisTech													
Changement climatique	TRADD	S5	Ponts ParisTech														
Impacts des transports: éléments d'analyse	TRADD	S5	Ponts ParisTech														
Transports durables pour les PED	TRADD	S6	Ponts ParisTech														
Le développement durable: jeu d'acteurs et enjeu d'action collective	TRADD	S5	Ponts ParisTech														
Gouvernance d'entreprise et développement durable	TRADD	S6	Ponts ParisTech														
Défis et définitions des mobilités durables	TRADD	S5	Ponts ParisTech														
Histoire des transports et des technologies	TRADD	S6	Ponts ParisTech														
Ingénierie des véhicules respectueux de l'environnement 1	TRADD	S6	Ponts ParisTech														
Ingénierie des véhicules respectueux de l'environnement 2	TRADD	S6	Ponts ParisTech														
choix des infrastructures de transport et durabilité	TRADD	S6	Ponts ParisTech														
Economie de l'environnement	TRADD	S5	Ponts ParisTech														
